,ordinate,abscissa
0,620.0,0
1,625.0,1
2,528.0,2
3,512.0,3
4,524.0,4
5,544.0,5
6,567.0,6
7,545.0,7
8,580.0,8
9,579.0,9
10,590.0,10
11,567.0,11
12,542.0,12
13,567.0,13
14,545.0,14
15,554.0,15
16,530.0,16
17,569.0,17
18,548.0,18
19,558.0,19
20,558.0,20
21,558.0,21
22,547.0,22
23,568.0,23
24,557.0,24
25,531.0,25
26,516.0,26
27,558.0,27
28,523.0,28
29,540.0,29
30,504.0,30
31,534.0,31
32,535.0,32
33,515.0,33
34,557.0,34
35,535.0,35
36,558.0,36
37,545.0,37
38,538.0,38
39,555.0,39
40,558.0,40
41,537.0,41
42,527.0,42
43,575.0,43
44,594.0,44
45,575.0,45
46,591.0,46
47,540.0,47
48,525.0,48
49,569.0,49
50,551.0,50
51,582.0,51
52,578.0,52
53,557.0,53
54,562.0,54
55,586.0,55
56,578.0,56
57,564.0,57
58,566.0,58
59,572.0,59
60,557.0,60
61,561.0,61
62,582.0,62
63,535.0,63
64,553.0,64
65,555.0,65
66,577.0,66
67,586.0,67
68,544.0,68
69,530.0,69
70,520.0,70
71,568.0,71
72,541.0,72
73,587.0,73
74,550.0,74
75,576.0,75
76,588.0,76
77,570.0,77
78,580.0,78
79,586.0,79
80,572.0,80
81,571.0,81
82,585.0,82
83,588.0,83
84,554.0,84
85,578.0,85
86,558.0,86
87,576.0,87
88,571.0,88
89,564.0,89
90,581.0,90
91,553.0,91
92,538.0,92
93,532.0,93
94,565.0,94
95,553.0,95
96,439.0,96
97,590.0,97
98,596.0,98
99,583.0,99
100,555.0,100
101,546.0,101
102,556.0,102
103,537.0,103
104,522.0,104
105,544.0,105
106,531.0,106
107,546.0,107
108,548.0,108
109,566.0,109
110,552.0,110
111,560.0,111
112,544.0,112
113,555.0,113
114,579.0,114
115,548.0,115
116,548.0,116
117,552.0,117
118,536.0,118
119,541.0,119
120,530.0,120
121,548.0,121
122,544.0,122
123,503.0,123
124,536.0,124
125,536.0,125
126,550.0,126
127,541.0,127
128,531.0,128
129,536.0,129
130,527.0,130
131,526.0,131
132,534.0,132
133,540.0,133
134,542.0,134
135,570.0,135
136,529.0,136
137,528.0,137
138,530.0,138
139,523.0,139
140,538.0,140
141,518.0,141
142,546.0,142
143,534.0,143
144,528.0,144
145,548.0,145
146,525.0,146
147,586.0,147
148,568.0,148
149,538.0,149
150,556.0,150
151,534.0,151
152,518.0,152
153,516.0,153
154,548.0,154
155,516.0,155
156,525.0,156
157,526.0,157
158,528.0,158
159,532.0,159
160,527.0,160
161,541.0,161
162,518.0,162
163,545.0,163
164,503.0,164
165,519.0,165
166,520.0,166
167,541.0,167
168,520.0,168
169,587.0,169
170,586.0,170
171,588.0,171
172,538.0,172
173,525.0,173
174,529.0,174
175,518.0,175
176,522.0,176
177,536.0,177
178,544.0,178
179,525.0,179
180,514.0,180
181,534.0,181
182,558.0,182
183,563.0,183
184,536.0,184
185,547.0,185
186,567.0,186
187,569.0,187
188,713.0,188
189,572.0,189
190,573.0,190
191,540.0,191
192,523.0,192
193,565.0,193
194,524.0,194
195,560.0,195
196,569.0,196
197,482.0,197
198,565.0,198
199,571.0,199
200,563.0,200
201,552.0,201
202,566.0,202
203,547.0,203
204,567.0,204
205,569.0,205
206,582.0,206
207,566.0,207
208,575.0,208
209,564.0,209
210,577.0,210
211,544.0,211
212,560.0,212
213,575.0,213
214,565.0,214
215,577.0,215
216,559.0,216
217,563.0,217
218,580.0,218
219,569.0,219
220,567.0,220
221,562.0,221
222,578.0,222
223,562.0,223
224,575.0,224
225,562.0,225
226,550.0,226
227,540.0,227
228,556.0,228
229,528.0,229
230,533.0,230
231,522.0,231
232,568.0,232
233,519.0,233
234,525.0,234
235,582.0,235
236,608.0,236
237,591.0,237
238,579.0,238
239,551.0,239
240,556.0,240
241,577.0,241
242,575.0,242
243,600.0,243
244,572.0,244
245,540.0,245
246,546.0,246
247,518.0,247
248,562.0,248
249,565.0,249
250,586.0,250
251,587.0,251
252,610.0,252
253,587.0,253
254,584.0,254
255,570.0,255
256,560.0,256
257,569.0,257
258,534.0,258
259,543.0,259
260,577.0,260
261,561.0,261
262,560.0,262
263,576.0,263
264,555.0,264
265,550.0,265
266,572.0,266
267,579.0,267
268,555.0,268
269,570.0,269
270,570.0,270
271,535.0,271
272,549.0,272
273,523.0,273
274,551.0,274
275,540.0,275
276,559.0,276
277,530.0,277
278,549.0,278
279,531.0,279
280,561.0,280
281,520.0,281
282,539.0,282
283,522.0,283
284,539.0,284
285,563.0,285
286,534.0,286
287,580.0,287
288,550.0,288
289,571.0,289
290,537.0,290
291,530.0,291
292,635.0,292
293,540.0,293
294,571.0,294
295,575.0,295
296,518.0,296
297,597.0,297
298,590.0,298
299,565.0,299
300,524.0,300
301,548.0,301
302,504.0,302
303,544.0,303
304,582.0,304
305,530.0,305
306,555.0,306
307,556.0,307
308,545.0,308
309,535.0,309
310,584.0,310
311,551.0,311
312,557.0,312
313,586.0,313
314,532.0,314
315,541.0,315
316,540.0,316
317,541.0,317
318,545.0,318
319,567.0,319
320,571.0,320
321,603.0,321
322,598.0,322
323,572.0,323
324,598.0,324
325,589.0,325
326,616.0,326
327,607.0,327
328,581.0,328
329,626.0,329
330,622.0,330
331,594.0,331
332,633.0,332
333,633.0,333
334,571.0,334
335,589.0,335
336,612.0,336
337,643.0,337
338,558.0,338
339,608.0,339
340,559.0,340
341,584.0,341
342,570.0,342
343,575.0,343
344,571.0,344
345,597.0,345
346,576.0,346
347,597.0,347
348,602.0,348
349,605.0,349
350,594.0,350
351,613.0,351
352,585.0,352
353,581.0,353
354,551.0,354
355,541.0,355
356,598.0,356
357,541.0,357
358,531.0,358
359,538.0,359
360,533.0,360
361,527.0,361
362,545.0,362
363,505.0,363
364,537.0,364
365,492.0,365
366,519.0,366
367,534.0,367
368,532.0,368
369,531.0,369
370,509.0,370
371,535.0,371
372,543.0,372
373,531.0,373
374,556.0,374
375,545.0,375
376,577.0,376
377,549.0,377
378,561.0,378
379,552.0,379
380,561.0,380
381,583.0,381
382,569.0,382
383,563.0,383
384,560.0,384
385,567.0,385
386,583.0,386
387,578.0,387
388,549.0,388
389,577.0,389
390,549.0,390
391,575.0,391
392,564.0,392
393,570.0,393
394,594.0,394
395,575.0,395
396,598.0,396
397,594.0,397
398,615.0,398
399,618.0,399
400,572.0,400
401,579.0,401
402,566.0,402
403,575.0,403
404,575.0,404
405,568.0,405
406,602.0,406
407,570.0,407
408,612.0,408
409,548.0,409
410,579.0,410
411,578.0,411
412,580.0,412
413,574.0,413
414,606.0,414
415,568.0,415
416,577.0,416
417,569.0,417
418,552.0,418
419,573.0,419
420,567.0,420
421,554.0,421
422,575.0,422
423,517.0,423
424,523.0,424
425,576.0,425
426,608.0,426
427,578.0,427
428,546.0,428
429,608.0,429
430,568.0,430
431,584.0,431
432,552.0,432
433,589.0,433
434,582.0,434
435,611.0,435
436,495.0,436
437,573.0,437
438,495.0,438
439,554.0,439
440,574.0,440
441,578.0,441
442,532.0,442
443,569.0,443
444,519.0,444
445,488.0,445
446,579.0,446
447,566.0,447
448,546.0,448
449,523.0,449
450,573.0,450
451,574.0,451
452,567.0,452
453,567.0,453
454,558.0,454
455,544.0,455
456,551.0,456
457,540.0,457
458,565.0,458
459,529.0,459
460,568.0,460
461,530.0,461
462,582.0,462
463,545.0,463
464,566.0,464
465,558.0,465
466,564.0,466
467,558.0,467
468,566.0,468
469,554.0,469
470,558.0,470
471,530.0,471
472,565.0,472
473,533.0,473
474,546.0,474
475,541.0,475
476,561.0,476
477,578.0,477
478,557.0,478
479,566.0,479
480,555.0,480
481,574.0,481
482,537.0,482
483,551.0,483
484,555.0,484
485,540.0,485
486,551.0,486
487,553.0,487
488,566.0,488
489,557.0,489
490,541.0,490
491,580.0,491
492,547.0,492
493,559.0,493
494,559.0,494
495,579.0,495
496,575.0,496
497,557.0,497
498,554.0,498
499,561.0,499
500,564.0,500
501,571.0,501
502,576.0,502
503,564.0,503
504,566.0,504
505,578.0,505
506,492.0,506
507,500.0,507
508,509.0,508
509,461.0,509
510,509.0,510
511,511.0,511
512,543.0,512
513,511.0,513
514,536.0,514
515,527.0,515
516,569.0,516
517,539.0,517
518,559.0,518
519,513.0,519
520,558.0,520
521,546.0,521
522,562.0,522
523,535.0,523
524,558.0,524
525,515.0,525
526,552.0,526
527,527.0,527
528,545.0,528
529,544.0,529
530,543.0,530
531,513.0,531
532,565.0,532
533,534.0,533
534,557.0,534
535,504.0,535
536,535.0,536
537,560.0,537
538,565.0,538
539,555.0,539
540,557.0,540
541,511.0,541
542,551.0,542
543,563.0,543
544,505.0,544
545,518.0,545
546,593.0,546
547,543.0,547
548,586.0,548
549,543.0,549
550,529.0,550
551,535.0,551
552,588.0,552
553,554.0,553
554,636.0,554
555,568.0,555
556,561.0,556
557,554.0,557
558,530.0,558
559,590.0,559
560,577.0,560
561,575.0,561
562,540.0,562
563,554.0,563
564,531.0,564
565,540.0,565
566,530.0,566
567,558.0,567
568,508.0,568
569,576.0,569
570,536.0,570
571,567.0,571
572,550.0,572
573,536.0,573
574,515.0,574
575,504.0,575
576,528.0,576
577,523.0,577
578,535.0,578
579,502.0,579
580,536.0,580
581,510.0,581
582,498.0,582
583,519.0,583
584,520.0,584
585,514.0,585
586,544.0,586
587,532.0,587
588,499.0,588
589,510.0,589
590,456.0,590
591,498.0,591
592,506.0,592
593,544.0,593
594,514.0,594
595,575.0,595
596,545.0,596
597,560.0,597
598,521.0,598
599,525.0,599
600,542.0,600
601,553.0,601
602,531.0,602
603,430.0,603
604,586.0,604
605,590.0,605
606,584.0,606
607,550.0,607
608,555.0,608
609,545.0,609
610,583.0,610
611,561.0,611
612,600.0,612
613,507.0,613
614,552.0,614
615,542.0,615
616,512.0,616
617,490.0,617
618,521.0,618
619,508.0,619
620,538.0,620
621,518.0,621
622,488.0,622
623,497.0,623
624,530.0,624
625,551.0,625
626,526.0,626
627,496.0,627
628,509.0,628
629,491.0,629
630,526.0,630
631,522.0,631
632,501.0,632
633,507.0,633
634,496.0,634
635,493.0,635
636,522.0,636
637,580.0,637
638,505.0,638
639,557.0,639
640,484.0,640
641,492.0,641
642,518.0,642
643,487.0,643
644,480.0,644
645,499.0,645
646,526.0,646
647,504.0,647
648,557.0,648
649,526.0,649
650,545.0,650
651,509.0,651
652,564.0,652
653,494.0,653
654,569.0,654
655,544.0,655
656,550.0,656
657,479.0,657
658,514.0,658
659,520.0,659
660,523.0,660
661,554.0,661
662,489.0,662
663,500.0,663
664,505.0,664
665,486.0,665
666,508.0,666
667,486.0,667
668,524.0,668
669,469.0,669
670,498.0,670
671,485.0,671
672,532.0,672
673,476.0,673
674,502.0,674
675,487.0,675
676,489.0,676
677,483.0,677
678,479.0,678
679,481.0,679
680,509.0,680
681,495.0,681
682,501.0,682
683,498.0,683
684,512.0,684
685,472.0,685
686,494.0,686
687,502.0,687
688,530.0,688
689,521.0,689
690,530.0,690
691,523.0,691
692,503.0,692
693,498.0,693
694,509.0,694
695,502.0,695
696,544.0,696
697,494.0,697
698,516.0,698
699,518.0,699
700,517.0,700
701,501.0,701
702,551.0,702
703,566.0,703
704,558.0,704
705,523.0,705
706,544.0,706
707,501.0,707
708,539.0,708
709,520.0,709
710,526.0,710
711,503.0,711
712,491.0,712
713,500.0,713
714,489.0,714
715,530.0,715
716,549.0,716
717,522.0,717
718,561.0,718
719,510.0,719
720,531.0,720
721,563.0,721
722,522.0,722
723,519.0,723
724,577.0,724
725,554.0,725
726,531.0,726
727,540.0,727
728,513.0,728
729,553.0,729
730,506.0,730
731,561.0,731
732,521.0,732
733,584.0,733
734,521.0,734
735,515.0,735
736,471.0,736
737,478.0,737
738,472.0,738
739,476.0,739
740,486.0,740
741,476.0,741
742,515.0,742
743,532.0,743
744,482.0,744
745,527.0,745
746,528.0,746
747,528.0,747
748,509.0,748
749,501.0,749
750,506.0,750
751,534.0,751
752,472.0,752
753,504.0,753
754,447.0,754
755,477.0,755
756,496.0,756
757,493.0,757
758,509.0,758
759,540.0,759
760,476.0,760
761,486.0,761
762,498.0,762
763,491.0,763
764,480.0,764
765,519.0,765
766,482.0,766
767,481.0,767
768,547.0,768
769,505.0,769
770,511.0,770
771,466.0,771
772,497.0,772
773,500.0,773
774,526.0,774
775,510.0,775
776,520.0,776
777,500.0,777
778,535.0,778
779,500.0,779
780,549.0,780
781,519.0,781
782,526.0,782
783,489.0,783
784,503.0,784
785,474.0,785
786,532.0,786
787,487.0,787
788,626.0,788
789,499.0,789
790,537.0,790
791,548.0,791
792,445.0,792
793,497.0,793
794,463.0,794
795,499.0,795
796,494.0,796
797,519.0,797
798,474.0,798
799,486.0,799
800,460.0,800
801,440.0,801
802,448.0,802
803,510.0,803
804,471.0,804
805,458.0,805
806,506.0,806
807,454.0,807
808,479.0,808
809,457.0,809
810,447.0,810
811,455.0,811
812,439.0,812
813,491.0,813
814,439.0,814
815,474.0,815
816,473.0,816
817,492.0,817
818,432.0,818
819,507.0,819
820,487.0,820
821,499.0,821
822,484.0,822
823,497.0,823
824,490.0,824
825,525.0,825
826,510.0,826
827,482.0,827
828,518.0,828
829,490.0,829
830,473.0,830
831,469.0,831
832,473.0,832
833,477.0,833
834,464.0,834
835,499.0,835
836,492.0,836
837,491.0,837
838,477.0,838
839,499.0,839
840,477.0,840
841,492.0,841
842,458.0,842
843,521.0,843
844,479.0,844
845,475.0,845
846,491.0,846
847,498.0,847
848,566.0,848
849,498.0,849
850,451.0,850
851,470.0,851
852,447.0,852
853,503.0,853
854,462.0,854
855,488.0,855
856,468.0,856
857,491.0,857
858,459.0,858
859,482.0,859
860,487.0,860
861,501.0,861
862,471.0,862
863,480.0,863
864,451.0,864
865,473.0,865
866,431.0,866
867,488.0,867
868,451.0,868
869,462.0,869
870,446.0,870
871,447.0,871
872,461.0,872
873,481.0,873
874,481.0,874
875,428.0,875
876,503.0,876
877,476.0,877
878,466.0,878
879,422.0,879
880,467.0,880
881,463.0,881
882,451.0,882
883,498.0,883
884,457.0,884
885,495.0,885
886,452.0,886
887,499.0,887
888,502.0,888
889,585.0,889
890,526.0,890
891,400.0,891
892,461.0,892
893,471.0,893
894,465.0,894
895,504.0,895
896,516.0,896
897,526.0,897
898,498.0,898
899,490.0,899
900,506.0,900
901,542.0,901
902,467.0,902
903,506.0,903
904,526.0,904
905,516.0,905
906,491.0,906
907,507.0,907
908,526.0,908
909,511.0,909
910,522.0,910
911,516.0,911
912,546.0,912
913,532.0,913
914,536.0,914
915,529.0,915
916,546.0,916
917,511.0,917
918,515.0,918
919,520.0,919
920,532.0,920
921,481.0,921
922,526.0,922
923,513.0,923
924,529.0,924
925,542.0,925
926,496.0,926
927,482.0,927
928,520.0,928
929,518.0,929
930,536.0,930
931,527.0,931
932,525.0,932
933,507.0,933
934,532.0,934
935,530.0,935
936,540.0,936
937,517.0,937
938,522.0,938
939,528.0,939
940,522.0,940
941,482.0,941
942,487.0,942
943,503.0,943
944,544.0,944
945,505.0,945
946,494.0,946
947,522.0,947
948,548.0,948
949,532.0,949
950,514.0,950
951,571.0,951
952,524.0,952
953,498.0,953
954,528.0,954
955,577.0,955
956,472.0,956
957,457.0,957
958,430.0,958
959,479.0,959
960,506.0,960
961,452.0,961
962,487.0,962
963,463.0,963
964,468.0,964
965,459.0,965
966,496.0,966
967,500.0,967
968,487.0,968
969,541.0,969
970,502.0,970
971,489.0,971
972,493.0,972
973,536.0,973
974,510.0,974
975,508.0,975
976,553.0,976
977,555.0,977
978,511.0,978
979,526.0,979
980,496.0,980
981,519.0,981
982,463.0,982
983,479.0,983
984,516.0,984
985,494.0,985
986,529.0,986
987,526.0,987
988,496.0,988
989,501.0,989
990,517.0,990
991,583.0,991
992,494.0,992
993,420.0,993
994,441.0,994
995,480.0,995
996,506.0,996
997,480.0,997
998,500.0,998
999,479.0,999
1000,535.0,1000
1001,551.0,1001
1002,507.0,1002
1003,561.0,1003
1004,498.0,1004
1005,475.0,1005
1006,473.0,1006
1007,439.0,1007
1008,443.0,1008
1009,447.0,1009
1010,484.0,1010
1011,469.0,1011
1012,510.0,1012
1013,455.0,1013
1014,455.0,1014
1015,487.0,1015
1016,501.0,1016
1017,482.0,1017
1018,452.0,1018
1019,427.0,1019
1020,421.0,1020
1021,420.0,1021
1022,484.0,1022
1023,466.0,1023
1024,490.0,1024
1025,477.0,1025
1026,502.0,1026
1027,468.0,1027
1028,511.0,1028
1029,453.0,1029
1030,439.0,1030
1031,458.0,1031
1032,506.0,1032
1033,429.0,1033
1034,495.0,1034
1035,460.0,1035
1036,513.0,1036
1037,453.0,1037
1038,525.0,1038
1039,519.0,1039
1040,506.0,1040
1041,490.0,1041
1042,505.0,1042
1043,502.0,1043
1044,477.0,1044
1045,515.0,1045
1046,496.0,1046
1047,464.0,1047
1048,478.0,1048
1049,457.0,1049
1050,487.0,1050
1051,492.0,1051
1052,468.0,1052
1053,517.0,1053
1054,481.0,1054
1055,509.0,1055
1056,498.0,1056
1057,500.0,1057
1058,492.0,1058
1059,523.0,1059
1060,487.0,1060
1061,499.0,1061
1062,502.0,1062
1063,526.0,1063
1064,463.0,1064
1065,518.0,1065
1066,483.0,1066
1067,460.0,1067
1068,497.0,1068
1069,476.0,1069
1070,465.0,1070
1071,569.0,1071
1072,560.0,1072
1073,540.0,1073
1074,474.0,1074
1075,521.0,1075
1076,495.0,1076
1077,498.0,1077
1078,493.0,1078
1079,491.0,1079
1080,494.0,1080
1081,554.0,1081
1082,550.0,1082
1083,507.0,1083
1084,498.0,1084
1085,500.0,1085
1086,499.0,1086
1087,533.0,1087
1088,552.0,1088
1089,516.0,1089
1090,506.0,1090
1091,514.0,1091
1092,517.0,1092
1093,522.0,1093
1094,510.0,1094
1095,505.0,1095
1096,530.0,1096
1097,483.0,1097
1098,529.0,1098
1099,522.0,1099
1100,481.0,1100
1101,500.0,1101
1102,474.0,1102
1103,488.0,1103
1104,521.0,1104
1105,537.0,1105
1106,535.0,1106
1107,529.0,1107
1108,493.0,1108
1109,495.0,1109
1110,538.0,1110
1111,521.0,1111
1112,508.0,1112
1113,500.0,1113
1114,484.0,1114
1115,512.0,1115
1116,497.0,1116
1117,558.0,1117
1118,495.0,1118
1119,511.0,1119
1120,506.0,1120
1121,509.0,1121
1122,563.0,1122
1123,510.0,1123
1124,504.0,1124
1125,471.0,1125
1126,509.0,1126
1127,442.0,1127
1128,496.0,1128
1129,474.0,1129
1130,507.0,1130
1131,498.0,1131
1132,484.0,1132
1133,489.0,1133
1134,521.0,1134
1135,521.0,1135
1136,486.0,1136
1137,522.0,1137
1138,515.0,1138
1139,510.0,1139
1140,513.0,1140
1141,494.0,1141
1142,530.0,1142
1143,555.0,1143
1144,515.0,1144
1145,535.0,1145
1146,542.0,1146
1147,543.0,1147
1148,498.0,1148
1149,551.0,1149
1150,491.0,1150
1151,506.0,1151
1152,523.0,1152
1153,561.0,1153
1154,588.0,1154
1155,472.0,1155
1156,476.0,1156
